"Date","Price","Open","High","Low","Change %"
"Jan 01, 2020","9.3638","9.3666","9.3681","9.3590","0.00%"
"Dec 31, 2019","9.3635","9.3439","9.3757","9.2931","0.16%"
"Dec 30, 2019","9.3489","9.3306","9.3543","9.3023","0.21%"
"Dec 27, 2019","9.3292","9.4154","9.4183","9.3215","-0.88%"
"Dec 26, 2019","9.4121","9.4118","9.4447","9.3942","0.29%"
"Dec 25, 2019","9.3852","9.4191","9.4271","9.3754","-0.34%"
"Dec 24, 2019","9.4171","9.4334","9.4445","9.4046","-0.16%"
"Dec 23, 2019","9.4319","9.4042","9.4466","9.3947","0.25%"
"Dec 20, 2019","9.4082","9.4095","9.4271","9.3896","-0.02%"
"Dec 19, 2019","9.4101","9.4263","9.4429","9.3817","-0.14%"
"Dec 18, 2019","9.4230","9.3816","9.4292","9.3753","0.44%"
"Dec 17, 2019","9.3817","9.3622","9.4044","9.3563","0.21%"
"Dec 16, 2019","9.3625","9.3906","9.3934","9.3360","-0.37%"
"Dec 13, 2019","9.3970","9.3955","9.4139","9.3240","0.05%"
"Dec 12, 2019","9.3923","9.3945","9.4172","9.3728","0.00%"
"Dec 11, 2019","9.3921","9.4994","9.5022","9.3805","-1.13%"
"Dec 10, 2019","9.4990","9.5329","9.5459","9.4867","-0.37%"
"Dec 09, 2019","9.5338","9.4944","9.5399","9.4911","0.38%"
"Dec 06, 2019","9.4981","9.4892","9.5179","9.4655","0.08%"
"Dec 05, 2019","9.4907","9.5150","9.5265","9.4794","-0.23%"
"Dec 04, 2019","9.5128","9.5265","9.5583","9.4886","-0.21%"
"Dec 03, 2019","9.5329","9.5420","9.5532","9.4918","-0.10%"
"Dec 02, 2019","9.5420","9.5791","9.5897","9.5259","-0.32%"
"Nov 29, 2019","9.5723","9.5587","9.5801","9.5372","0.13%"
"Nov 28, 2019","9.5603","9.5793","9.5966","9.5496","-0.21%"
"Nov 27, 2019","9.5805","9.5899","9.6029","9.5680","-0.10%"
"Nov 26, 2019","9.5904","9.6385","9.6458","9.5807","-0.54%"
"Nov 25, 2019","9.6425","9.6271","9.6554","9.5643","0.15%"
"Nov 22, 2019","9.6276","9.6292","9.6406","9.5875","0.01%"
"Nov 21, 2019","9.6262","9.6328","9.6538","9.5999","-0.07%"
"Nov 20, 2019","9.6332","9.6312","9.7216","9.6178","0.02%"
"Nov 19, 2019","9.6317","9.6359","9.6562","9.6070","-0.04%"
"Nov 18, 2019","9.6356","9.6426","9.6505","9.6052","-0.05%"
"Nov 15, 2019","9.6405","9.6836","9.6854","9.6273","-0.44%"
"Nov 14, 2019","9.6827","9.7315","9.7566","9.6800","-0.49%"
"Nov 13, 2019","9.7308","9.7211","9.7647","9.7067","0.11%"
"Nov 12, 2019","9.7203","9.6959","9.7240","9.6898","0.25%"
"Nov 11, 2019","9.6962","9.6969","9.7235","9.6861","-0.03%"
"Nov 08, 2019","9.6993","9.6297","9.7179","9.6236","0.73%"
"Nov 07, 2019","9.6290","9.6267","9.6428","9.5772","0.02%"
"Nov 06, 2019","9.6267","9.6573","9.6656","9.5948","-0.33%"
"Nov 05, 2019","9.6585","9.6224","9.6747","9.5828","0.38%"
"Nov 04, 2019","9.6224","9.5619","9.6271","9.5376","0.61%"
"Nov 01, 2019","9.5642","9.6539","9.6585","9.5512","-0.90%"
"Oct 31, 2019","9.6514","9.6520","9.6685","9.6185","-0.02%"
"Oct 30, 2019","9.6532","9.7000","9.7436","9.6501","-0.49%"
"Oct 29, 2019","9.7007","9.7027","9.7491","9.6944","-0.03%"
"Oct 28, 2019","9.7036","9.6860","9.7092","9.6651","0.20%"
"Oct 25, 2019","9.6839","9.6507","9.6984","9.6433","0.27%"
"Oct 24, 2019","9.6582","9.6400","9.6653","9.5556","0.20%"
"Oct 23, 2019","9.6394","9.6520","9.6737","9.6281","-0.11%"
"Oct 22, 2019","9.6504","9.6404","9.6583","9.6194","0.09%"
"Oct 21, 2019","9.6418","9.6765","9.6795","9.5967","-0.00%"
"Oct 18, 2019","9.6420","9.7146","9.7155","9.6410","-0.74%"
"Oct 17, 2019","9.7139","9.7763","9.8212","9.6842","-0.64%"
"Oct 16, 2019","9.7764","9.8110","9.8310","9.7640","-0.34%"
"Oct 15, 2019","9.8097","9.8173","9.8443","9.7768","-0.09%"
"Oct 14, 2019","9.8185","9.8057","9.8623","9.8036","0.14%"
"Oct 11, 2019","9.8044","9.8415","9.8480","9.7856","-0.38%"
"Oct 10, 2019","9.8418","9.9591","9.9598","9.8170","-1.17%"
"Oct 09, 2019","9.9588","9.9443","9.9643","9.9166","0.12%"
"Oct 08, 2019","9.9466","9.9169","9.9548","9.8755","0.31%"
"Oct 07, 2019","9.9163","9.8407","9.9225","9.8331","0.76%"
"Oct 04, 2019","9.8418","9.8682","9.8735","9.8307","-0.28%"
"Oct 03, 2019","9.8698","9.8732","9.9127","9.8325","-0.02%"
"Oct 02, 2019","9.8721","9.8774","9.9220","9.8571","-0.06%"
"Oct 01, 2019","9.8783","9.8423","9.9318","9.8393","0.37%"
"Sep 30, 2019","9.8423","9.7959","9.8508","9.7823","0.48%"
"Sep 27, 2019","9.7949","9.7653","9.8170","9.7510","0.31%"
"Sep 26, 2019","9.7650","9.7553","9.7774","9.7224","0.09%"
